Year,Age,Team,Lg,Round,W/L,Opp,,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,MP,PTS,TRB,AST
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,BOS,2024,EC1,W (4-1),MIA,,5,4,1,170,48,92,9,28,9,20,9,35,11,5,3,16,9,114,,.522,.321,.450,,33.9,22.8,7.0,2.2
2024,27,BOS,2024,ECS,W (4-1),CLE,,5,4,1,181,45,76,9,21,18,24,4,31,14,2,2,12,15,117,,.592,.429,.750,,36.2,23.4,6.2,2.8
2024,27,BOS,2024,ECF,W (4-0),IND,,4,4,0,164,45,87,10,27,19,29,5,20,12,8,3,9,11,119,,.517,.370,.655,,40.9,29.8,5.0,3.0
2024,27,BOS,2024,FIN,,DAL,,2,2,0,80,15,27,3,11,10,15,3,10,9,6,3,8,6,43,,.556,.273,.667,,39.8,21.5,5.0,4.5
7 Years (22 Series),7 Years (22 Series),7 Years (22 Series),7 Years (22 Series),7 Years (22 Series),15-6,,,121,72,49,4011,870,1778,237,656,327,454,137,676,287,121,52,278,335,2304,,.489,.361,.720,,33.1,19.0,5.6,2.4
7 EC1,7 EC1,7 EC1,7 EC1,7 EC1,7-0,,,35,27,8,1093,250,495,64,173,68,106,32,175,70,34,13,75,80,632,,.505,.370,.642,,31.2,18.1,5.0,2.0
7 ECS,7 ECS,7 ECS,7 ECS,7 ECS,6-1,,,42,24,18,1347,272,554,83,222,118,152,36,242,97,38,21,88,121,745,,.491,.374,.776,,32.1,17.7,5.8,2.3
6 ECF,6 ECF,6 ECF,6 ECF,6 ECF,2-4,,,36,17,19,1258,283,586,71,203,106,150,55,205,89,38,13,87,113,743,,.483,.350,.707,,34.9,20.6,5.7,2.5
2 FIN,2 FIN,2 FIN,2 FIN,2 FIN,0-1,,,8,4,4,313,65,143,19,58,35,46,14,54,31,11,5,28,21,184,,.455,.328,.761,,39.1,23.0,6.8,3.9
