Year,Age,Team,Lg,Round,W/L,Opp,,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,MP,PTS,TRB,AST
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27,DEN,2023,WC1,W (4-1),MIN,,5,4,1,185,48,99,11,22,24,34,21,62,45,6,2,14,21,131,,.485,.500,.706,,37.0,26.2,12.4,9.0
2023,27,DEN,2023,WCS,W (4-2),PHO,,6,4,2,231,82,138,8,18,35,41,25,79,62,6,6,24,15,207,,.594,.444,.854,,38.5,34.5,13.2,10.3
2023,27,DEN,2023,WCF,W (4-0),LAL,,4,4,0,168,41,81,8,17,21,27,14,58,47,5,5,15,16,111,,.506,.471,.778,,42.0,27.8,14.5,11.8
2023,27,DEN,2023,FIN,W (4-1),MIA,,5,4,1,206,56,96,8,19,31,37,9,70,36,4,7,17,17,151,,.583,.421,.838,,41.1,30.2,14.0,7.2
6 Years (14 Series),6 Years (14 Series),6 Years (14 Series),6 Years (14 Series),6 Years (14 Series),9-5,,,80,44,36,3038,847,1596,138,354,381,455,257,981,600,88,70,256,266,2213,,.531,.390,.837,,38.0,27.7,12.3,7.5
6 WC1,6 WC1,6 WC1,6 WC1,6 WC1,5-1,,,35,21,14,1293,371,703,69,169,160,188,116,414,252,37,20,98,116,971,,.528,.408,.851,,36.9,27.7,11.8,7.2
5 WCS,5 WCS,5 WCS,5 WCS,5 WCS,2-3,,,31,14,17,1204,338,639,48,135,147,177,105,403,240,32,36,113,94,871,,.529,.356,.831,,38.8,28.1,13.0,7.7
2 WCF,2 WCF,2 WCF,2 WCF,2 WCF,1-1,,,9,5,4,335,82,158,13,31,43,53,27,94,72,15,7,28,39,220,,.519,.419,.811,,37.2,24.4,10.4,8.0
1 FIN,1 FIN,1 FIN,1 FIN,1 FIN,1-0,,,5,4,1,206,56,96,8,19,31,37,9,70,36,4,7,17,17,151,,.583,.421,.838,,41.2,30.2,14.0,7.2
